UEs,time
3,0.106928
3,0.116990
3,0.062314
3,0.182744
3,0.076428
6,0.173021
6,0.414172
6,0.440613
6,0.316756
6,0.325060
9,1.540417
9,1.710968
9,1.665219
9,1.805573
9,1.835630
12,2.367305
12,2.762270
12,2.261265
12,1.730139
12,2.621797
15,3.561063
15,3.950299
15,3.413411
15,3.654590
15,3.613314
18,5.208385
18,5.332036
18,5.444917
18,5.285408
18,5.271534
21,7.797294
21,7.186260
21,7.270940
21,7.646091
21,7.471069
24,9.743379
24,9.601290
24,10.606693
24,10.259835
24,10.235773
27,13.195238
27,13.233405
27,12.623350
27,13.208159
27,13.197887
30,15.851049
30,16.040611
30,15.941623
30,16.385127
30,15.244387
